,id,url,headline,author,date
0,0,https://www.theverge.com//2022/9/18/23357870/fortnite-chapter-3-season-4-paradise-battle-pass,Fortnite’s new season adds Spider-Gwen and goopy chromeh2Andrew Websterh2Sep 18,Andrew Webster,Sep 18
1,1,https://www.theverge.com//2022/9/18/23359156/gta-6-leak-gameplay-footage-90-videos,GTA 6 gameplay leaks online in 90 videosh2Tom Warrenh2Sep 18,Tom Warren,Sep 18
2,2,https://www.theverge.com//2022/9/18/23359479/apple-dynamic-island-base-iphone-15-ross-young-rumors,The Dynamic Island might come to all iPhone 15 modelsh2Emma Rothh2Sep 18,Emma Roth,Sep 18
3,3,https://www.theverge.com//2022/9/17/23354933/tiff-2022-movie-reviews-glass-onion-weird-broker,"Knives Out, Weird Al, and more: eight great movies from TIFF 2022h2Andrew Websterh2Sep 17",Andrew Webster,Sep 17
4,4,https://www.theverge.com//2022/9/17/23357060/tp-link-tapo-l930-review-apple-home-smart-lighting,TP-Link’s latest smart light strip goes with everythingh2Jennifer Pattison Tuohyh2Sep 17,Jennifer Pattison Tuohy,Sep 17
5,5,https://www.theverge.com//2022/9/18/23359156/gta-6-leak-gameplay-footage-90-videos?itm_source=parsely-api,GTA 6 gameplay leaks online in 90 videosh2Tom Warrenh2Sep 18,Tom Warren,Sep 18
6,6,https://www.theverge.com//2022/9/18/23359755/tom-brady-microsoft-surface-tablet-tampa-bay-buccaneers-saints-football-nfl?itm_source=parsely-api,Tom Brady just chucked another Microsoft Surface tableth2Emma Rothh2Sep 18,Emma Roth,Sep 18
7,7,https://www.theverge.com//2022/9/17/23355403/ps-vita-2022-wishlist-soliloquy?itm_source=parsely-api,"The PS Vita’s time is now, againh2Cameron Faulknerh2Sep 17",Cameron Faulkner,Sep 17
8,8,https://www.theverge.com//2022/9/16/23356241/iphone-ios-screenshot-trick-neat-scribbles-why-u-no?itm_source=parsely-api,Why didn’t anyone tell me about this iOS screenshot trick?h2Tom Warrenh2Sep 16,Tom Warren,Sep 16
9,9,https://www.theverge.com//2022/9/18/23359564/iphone-14-cameras-shaking-grinding-sounds-third-party-photo-apps-apple?itm_source=parsely-api,iPhone 14 Pro users report camera shakiness and grinding noise when using third-party appsh2Emma Rothh2Sep 18,Emma Roth,Sep 18
